akeak127  Åkerström,Åke
andan100  Andersson,Anders
arlar128  Ärta,Ärling
berbe101  Bertilsson,Bertil
cecca102  Carlsson,Cecilia
davda103  Davidsson,David
erier104  Eriksson,Erik
frefr105  Fredriksson,Fredrik
gusgu106  Gustafson,Gustav
hanha107  Hansson,Hans
ivaiv108  Ivarsson,Ivar
johjo109  Johansson,Johanna
karka110  Karlsson,Karl
louli111  Linghed,Louise
marma112  Malmström,Martin
nicni113  Nilsson,Nicklas
olaol114  Olsson,Ola
ostov129  Överbliven,Öster
perpe115  Persson,Per
quiqv116  Qvarnström,Quintus
robra117  Ramfors,Robert
sarsv118  Svensson,Sara
turte119  Teknolog,Ture
urbuv120  Uv,Urban
vilva121  Valfridsson,Vilhelm
wilwo123  Wonka,Willy
xerxi124  Xi,Xerxes
yngyt125  Ytter,Yngve
zamzn126  Znigel,Zam
